Applied Filters
Filter Name,القيمة
area,"العليا"

Filtered Data Summary Statistics
المقياس,القيمة,الوحدة,بداية الفترة,نهاية الفترة
الحضور,1100,طالب,2025-05-31,2025-06-30
الغياب,0,طالب,2025-05-31,2025-06-30
التأخير,95,طالب,2025-05-31,2025-06-30
الغرامات,0,ريال سعودي,2025-05-31,2025-06-30

Filtered Schools Details
School ID,School Name (EN),School Name (AR),المنطقة,المدينة,المنطقة,الرقم الوزاري,School Type,Gender Type
1,"Medium Younis Ben Obaid","متوسطة يونس بن عبيد","الرياض","الرياض","العليا","730101","National","Male"
11,"Medium Mecca","متوسطة مكة المكرمة","الرياض","الرياض","العليا","994656","National","Male"
21,"Medium Olayan Complex","متوسطة مجمع العليان","الرياض","الرياض","العليا","931132","National","Male"
31,"Medium Omair Bin Wahb","متوسطة عمير بن وهب","الرياض","الرياض","العليا","788995","National","Male"
41,"Othman bin Talha medium","متوسطة عثمان بن طلحة","الرياض","الرياض","العليا","486718","National","Male"
51,"Abdel Rahman Al Nasser Medium","متوسطة عبدالرحمن الناصر","الرياض","الرياض","العليا","185018","National","Male"
61,"Medium Sofiane Ben Adeera","متوسطة سفيان بن عديـدة","الرياض","الرياض","العليا","393280","National","Male"
71,"Dhi El Nourain Medium","متوسطة ذي النورين","الرياض","الرياض","العليا","790863","National","Male"
81,"Medium Haritha ibn al-Nu'man","متوسطة حارثة بن النعمان","الرياض","الرياض","العليا","982515","National","Male"
91,"Buraydah Bin Al-Husseib Medium","متوسطة بريدة بن الحصيب","الرياض","الرياض","العليا","752271","National","Male"
101,"Prince Abdulmohsen bin Abdulaziz High School","ثانوية الأمير عبدالمحسن بن عبدالعزيز","الرياض","الرياض","العليا","744300","National","Male"
111,"Ibn Al-Jazari High School for Quran Memorization","ثانوية ابن الجزري لتحفيظ القرآن الكريم","الرياض","الرياض","العليا","691203","National","Male"
121,"Al-Arid High School","ثانوية العارض","الرياض","الرياض","العليا","978820","National","Male"
131,"Imam Ibn Kathir al-Makki High School for Quran Memorization","ثانوية الإمام ابن كثير المكي لتحفيظ القرآن الكريم","الرياض","الرياض","العليا","631901","National","Male"
141,"Capital Institute Model High School","ثانوية معهد العاصمة النموذجي","الرياض","الرياض","العليا","114459","National","Male"
151,"Gaafar Bin Mohammed High School","ثانوية جعفر بن محمد","الرياض","الرياض","العليا","774771","National","Male"
161,"Jerusalem High School","ثانوية القدس","الرياض","الرياض","العليا","329295","National","Male"
171,"Al Suyuti High School","ثانوية السيوطي","الرياض","الرياض","العليا","767301","National","Male"
181,"El Khalal High School","ثانوية الخلال","الرياض","الرياض","العليا","441078","National","Male"
191,"El Badiaa High School","ثانوية البديعة","الرياض","الرياض","العليا","861651","National","Male"
201,"Imam El Susi High School For Quran Memorization","ثانوية الإمام السوسي لتحفيظ القرآن الكريم","الرياض","الرياض","العليا","991040","National","Male"
211,"El Sons High School In Riyadh","ثانوية الأبناء بالرياض","الرياض","الرياض","العليا","659284","National","Male"
221,"Ibn El Moataz High School","ثانوية ابن المعتز","الرياض","الرياض","العليا","696678","National","Male"
231,"Ahmed El Zayat High School For Quran Memorization","ثانوية أحمد الزيات لتحفيظ القرآن الكريم","الرياض","الرياض","العليا","414222","National","Female"
241,"Primary Secrets Eligibility","ابتدائية أسراري الأهلية","الرياض","الرياض","العليا","508275","National","Male"
251,"Arab Private Academy Primary School","ابتدائية الأكاديمية العربية الخاصة","الرياض","الرياض","العليا","291545","National","Male"
261,"Horizon National Primary School","ابتدائية الأفق الأهلية","الرياض","الرياض","العليا","229564","National","Male"
271,"Tenth Primary after the Two Hundred 210","الابتدائية العاشرة بعد المائتان 210","الرياض","الرياض","العليا","763502","National","Male"
281,"Sixty-sixth primary after the two hundred 266","الابتدائية السادسة والستون بعد المائتين 266","الرياض","الرياض","العليا","137563","National","Male"
291,"Hundred and Eighty-sixth Primary 186","الابتدائية السادسة والثمانون بعد المائة 186","الرياض","الرياض","العليا","823271","National","Male"
301,"Primary XVI 16","الابتدائية السادسة عشرة 16","الرياض","الرياض","العليا","605472","National","Female"
311,"Primary XXVII after the two hundred 227","الابتدائية السابعة والعشرون بعد المائتين 227","الرياض","الرياض","العليا","994576","National","Female"
321,"Elementary Seventy and Seventy after Three Hundred 377","الابتدائية السبعون والسبعون بعد الثلاثمائة 377","الرياض","الرياض","العليا","443996","National","Female"
331,"Hundred and Forty-seventh Primary 147","الابتدائية السابعة والأربعون بعد المائة 147","الرياض","الرياض","العليا","329601","National","Female"
341,"Primary Twenty-fourth Quran Memorization 24","الابتدائية الرابعة والعشرون لتحفيظ القرآن الكريم 24","الرياض","الرياض","العليا","100002","National","Female"
351,"Primary Thirty-fourth for Quran Memorization 34","الابتدائية الرابعة والثلاثون لتحفيظ القرآن الكريم 34","الرياض","الرياض","العليا","627714","National","Female"
361,"Fourteenth Primary Quran Memorization 14","الابتدائية الرابعة عشرة لتحفيظ القرآن الكريم 14","الرياض","الرياض","العليا","766019","National","Female"
