student_id,school_id,class_en,class_ar,first_name_en,first_name_ar,last_name_en,last_name_ar,date_of_birth,date_of_birth_hijri,gender,registration_no,poi_number,identity_type,image_url
237,262,First Primary,الأول الابتدائي,Tarek,طارق,Nasser Karam Bassel Khoury,خالد باسل رامي كنعان,2018-01-04,1435-11-16,Male,REG283259,239155374,National_ID,https://files.catbox.moe/23kp94.jpg
241,272,First Primary,الأول الابتدائي,Mostafa,مصطفى,Bader Jamil Bassel Kanaan,محمد محمد نور إبراهيم,2017-08-01,1435-11-16,Male,REG803483,221046175,Iqama,https://files.catbox.moe/ypraoq.jpg
245,293,First Primary,الأول الابتدائي,Saud,سعود,Bader Jamil Bassel Kanaan,محمد محمد نور إبراهيم,2018-03-26,1430-10-31,Male,REG816213,232371300,Iqama,https://files.catbox.moe/23kp94.jpg
252,452,First Primary,الأول الابتدائي,Fatima,فاطمه,Hisham Ahmed Ahmed Ibrahim,عبد الرحمن نور نور عبد الرحمن,2018-11-29,1440-02-07,Female,REG400647,123078573,Iqama,https://files.catbox.moe/tyqlaa.jpg
269,272,First Primary,الأول الابتدائي,Youssef,يوسف,Jamil Nader Rami Kanaan,تركي فهد فهد آل سعود,2017-09-01,1436-03-08,Male,REG847680,173174394,National_ID,https://files.catbox.moe/tw1jzy.jpg
272,244,First Primary,الأول الابتدائي,Nader,نادر,Faisal Nader Karam Haddad,يوسف يوسف حسن محمود,2017-03-12,1431-03-23,Male,REG404378,175395834,National_ID,https://files.catbox.moe/23kp94.jpg
279,270,First Primary,الأول الابتدائي,Abdelrahman,عبد الرحمن,Ahmed Hassan Mostafa Ibrahim,مصطفى أحمد حسن إبراهيم,2017-05-19,1433-01-08,Male,REG674086,140966449,Iqama,https://files.catbox.moe/2l6fok.jpg
281,275,First Primary,الأول الابتدائي,Khalid,خالد,Abdelrahman Nour Abdelrahman Ibrahim,سعود فهد عبدالله آل سعود,2017-08-01,1429-12-04,Male,REG164990,123259487,National_ID,https://files.catbox.moe/tw1jzy.jpg
285,341,First Primary,الأول الابتدائي,Hala,هاله,Abdelrahman Nour Abdelrahman Ibrahim,سعود فهد عبدالله آل سعود,2017-10-30,1435-12-26,Female,REG958334,126607030,National_ID,https://files.catbox.moe/r5nj4o.jpg
291,307,First Primary,الأول الابتدائي,Lina,لينا,Bassel Jamil Bassel Jaber,فهد خالد تركي الحربي,2018-12-08,1428-12-09,Female,REG742801,212524047,Iqama,https://files.catbox.moe/r5nj4o.jpg
292,268,First Primary,الأول الابتدائي,Bassel,باسل,Bassel Jamil Bassel Jaber,فهد خالد تركي الحربي,2017-07-24,1438-12-09,Male,REG838052,178061899,Iqama,https://files.catbox.moe/tw1jzy.jpg
